19120463,0
20120042,0
20120527,0
22120004,0
22120007,0
22120014,0
22120019,0
22120037,0
22120061,0
22120086,0
22120132,0
22120149,0
22120171,0
22120231,0
22120285,0
22120360,0
22120400,0
22120442,0
22120452,0
1712263,1
22120002,1
22120016,1
22120032,1
22120040,1
22120052,1
22120063,1
22120075,1
22120113,1
22120115,1
22120120,1
22120158,1
22120173,1
22120187,1
22120289,1
22120329,1
22120337,1
22120338,1
22120419,1
22120017,2
22120023,2
22120027,2
22120041,2
22120047,2
22120048,2
22120084,2
22120121,2
22120223,2
22120269,2
22120278,2
22120288,2
22120304,2
22120308,2
22120312,2
22120315,2
22120383,2
22120393,2
22120432,2
22120095,3
22120135,3
22120167,3
22120222,3
22120309,3
22120325,3
22120341,3
22120344,3
22120345,3
22120356,3
22120361,3
22120369,3
22120440,3
22120450,3
22120163,4
22120188,4
22120354,4
22120043,5
22120319,5
22120144,6
